가산디지털단지점,"['주소 : 서울특별시 금천구 벚꽃로 286(가산동)', '전화번호 : 02-837-0160', '영업시간 : 오전 10시~오후 10시']"
거여역점,"['주소 : 서울특별시 송파구 양산로 40(거여동)', '전화번호 : 02-400-4331', '영업시간 : 월~일 09:30 ~ 24:00']"
경산사동점,"['주소 : 경북 경산시 백자로 67', '전화번호 : 070-7833-6364', '영업시간', '평일, 주말(공휴일) : 11:00 ~ 23:00']"
경산영남대역점,"['주소 : 경상북도 경산시 대학로 293(대동)', '전화번호 : 070-8691-3359', '영업시간 : 오전 10시~오후 10시, 연중무휴']"
경산정평역점,"['주소 : 경북 경산시 대학로 36 1층 ', '전화번호 : 053-812-5310', '영업시간 : 10:00 ~ 22:00 , 연중무휴']"
경산하양점,"['주소 : 경상북도 경산시 하양읍 하양로 34, 가동 104, 105호', '전화번호 : 053 - 851 - 3469', '영업시간 : 10:00 ~ 22:00']"
경주용황점,"['주소 : 경상북도 경주시 용황로 69  1층', '전화번호 : 054-775-7770', '영업시간 : 10:00~22:00']"
경희대점,"['주소 : 서울특별시 동대문구 회기로 144(회기동)', '전화번호 : 02-957-4910', '영업시간 : 오전 10시~오후 10시', ' ']"
고덕역점,"['주소 : 서울 강동구 동남로 71길 24, 1층', '전화번호 : 02-426-7374', '영업시간 : 오전 10시~오후 10시']"
고려대점,"['주소 : 서울특별시 성북구 고려대로24길 51(안암동5가)', '전화번호 : 02-921-6251', '영업시간 : 오전 10시~오후 10시']"
고속터미널점,"['주소 : 서울시 서초구 신반포로 194 고속터미널 경부선(탑승 게이트 쪽)', '전화번호 : 02-532-4260', '영업시간 : 오전 9시~오후 10시']"
고양향동점,"['주소 : 경기도 고양시 덕양구 향기로115', '(향동, 봄프라자)108, 109, 206호 노브랜드버거', '전화번호 : 070-7817-5550', '영업시간 : 오전 10시~오후 10시']"
공주신관점,"['주소 : 충청남도 공주시 흑수골길 25, 1층 (신관동)', '전화번호 : 041-852-7812', '영업시간 : 10:00 ~ 22:00 , 연중무휴']"
광명사거리점,"['주소 : 경기도 광명시 광명로 825, 1층 (광명동) ', '전화번호 : 02-2681-0860', '영업시간: 10:00~22:00, 연중무휴']"
광명하안점,"['주소 : 경기도 광명시 범안로 1046(하안동) 1층 101호', '전화번호 : 02-896-4863', '영업시간 : 오전 10시~오후 10시']"
구리갈매점,"['주소 : 경기도 구리시 경춘북로 252 , 841동 1층C172-1호(갈매역 아이파크)', '전화번호 : 031-527-7576', '영업시간 : 오전 10시~오후 10시']"
구리수택점,"['주소: 경기도 구리시 이문안로 77, 1층(수택동)', '전화번호: 031-558-7432', '영업시간: 10:00 ~ 24:00, 연중무휴 ']"
구미역점,"['주소 : 경북 구미시 구미중앙로 77 1층', '전화번호 : 054-444-4540', '영업시간 : 오전 10시~오후 10시, 연중무휴']"
구미옥계점,"['주소 : 경상북도 구미시 옥계북로 27, 108동 1층 114, 115호(옥계동, 삼구트리니엔)', '전화번호 : 054-474-1991', '영업시간 : 오전 10시~오후 10시']"
구미진평점,"['주소 : 경북 구미시 인동 36길 6', '전화번호 : 054-471-1250', '영업시간 : 오전 10시~오후 10시']"
군자역점,"['주소 : 서울특별시 광진구 천호대로 549, G타워 1층', '전화번호 : 02-463-8255', '영업시간 : 오전 10시~오후 10시']"
금촌로터리점,"['주소 : 경기도 파주시 후곡로 2 1층', '전화번호 : 031-947-1050', '영업시간 : 월~토 09:00 ~ 24:30', '                일 09:00 ~22:00']"
길동역점,"['주소 : 서울특별시 강동구 양재대로 1488(길동)', '전화번호 : 02-489-6540', '영업시간 : 월~일 10:30 ~ 22:00']"
김천혁신도시점,"['주소 :  경북 김천시 혁신3로 15 율곡스퀘어 105,106호 (1층) ', '전화번호 : 054-436-4588', '영업시간 : 10:00 ~ 22:00, 연중무휴']"
김포걸포점,"['주소 : 경기도 김포시 걸포2로 33 SH1012타워 106호', '전화번호 : 031-985-0142', '영업시간 : 오전 10시~오후 10시']"
김포구래점,"['주소 : 경기도 김포시 솔터로 22  애비뉴스완 101호', '전화번호 : 031-982-0806', '영업시간 : 10:00~24:00']"
